House Id,Lot Area,Overall Quality,Overall Condition,Year Built,Basement Area,Ground Floor Area,Second Floor Area,Living Area,Bathrooms,Bedrooms,Fireplaces,Garage Area,Deck Area,Sale Price
1,8450,7,5,2003,856,856,854,1710,4,3,0,548,0,208500
2,9600,6,8,1976,1262,1262,0,1262,3,3,1,460,298,181500
3,11250,7,5,2001,920,920,866,1786,4,3,1,608,0,223500
4,9550,7,5,1915,756,961,756,1717,2,3,1,642,0,140000
5,14260,8,5,2000,1145,1145,1053,2198,4,4,1,836,192,250000
6,14115,5,5,1993,796,796,566,1362,3,1,0,480,40,143000
7,10084,8,5,2004,1686,1694,0,1694,3,3,1,636,255,307000
8,10382,7,6,1973,1107,1107,983,2090,4,3,2,484,235,200000
9,6120,7,5,1931,952,1022,752,1774,2,2,2,468,90,129900
10,7420,5,6,1939,991,1077,0,1077,2,2,2,205,0,118000
11,11200,5,5,1965,1040,1040,0,1040,2,3,0,384,0,129500
12,11924,9,5,2005,1175,1182,1142,2324,4,4,2,736,147,345000
13,12968,5,6,1962,912,912,0,912,2,2,0,352,140,144000
14,10652,7,5,2006,1494,1494,0,1494,2,3,1,840,160,279500
15,10920,6,5,1960,1253,1253,0,1253,3,2,1,352,0,157000
16,6120,7,8,1929,832,854,0,854,1,2,0,576,48,132000
17,11241,6,7,1970,1004,1004,0,1004,2,2,1,480,0,149000
18,10791,4,5,1967,0,1296,0,1296,2,2,0,516,0,90000
19,13695,5,5,2004,1114,1114,0,1114,3,3,0,576,0,159000
20,7560,5,6,1958,1029,1339,0,1339,1,3,0,294,0,139000
21,14215,8,5,2005,1158,1158,1218,2376,4,4,1,853,240,325300
22,7449,7,7,1930,637,1108,0,1108,1,3,1,280,0,139400
23,9742,8,5,2002,1777,1795,0,1795,2,3,1,534,171,230000
24,4224,5,7,1976,1040,1060,0,1060,2,3,1,572,100,129900
25,8246,5,8,1968,1060,1060,0,1060,2,3,1,270,406,154000
26,14230,8,5,2007,1566,1600,0,1600,2,3,1,890,0,256300
27,7200,5,7,1951,900,900,0,900,2,3,0,576,222,134800
28,11478,8,5,2007,1704,1704,0,1704,3,3,1,772,0,306000
29,16321,5,6,1957,1484,1600,0,1600,2,2,2,319,288,207500
30,6324,4,6,1927,520,520,0,520,1,1,0,240,49,68500
31,8500,4,4,1920,649,649,668,1317,1,3,0,250,0,40000
32,8544,5,6,1966,1228,1228,0,1228,2,3,0,271,0,149350
33,11049,8,5,2007,1234,1234,0,1234,2,3,0,484,0,179900
